,AAPL,TSLA,GOOGL,MSFT,WDC
2012-03-13,81.157143,36.09,309.199188,32.669998,40.150002
2012-03-14,84.225716,35.290001000000004,308.303314,32.77,39.630001
2012-03-15,83.65142800000001,35.0,310.875885,32.849998,38.869999
2012-03-16,83.652855,35.32,312.832825,32.599998,38.259997999999996
2012-03-19,85.871429,34.98,317.307312,32.200001,38.189999
2012-03-20,86.565712,34.959998999999996,317.062073,31.99,39.080002
2012-03-21,86.071426,35.150002,320.310303,31.91,39.450001
2012-03-22,85.620003,34.400002,323.348358,32.0,42.060001
2012-03-23,85.150002,34.080002,321.616608,32.009997999999996,42.439999
2012-03-26,86.711426,37.400002,324.98999,32.59,42.599998
2012-03-27,87.78286,37.939999,323.833832,32.52,42.459998999999996
2012-03-28,88.23143,37.849998,328.208221,32.189999,42.169998
2012-03-29,87.122856,37.330002,324.529541,32.119999,42.009997999999996
2012-03-30,85.650002,37.240002000000004,320.940948,32.259997999999996,41.389998999999996
2012-04-02,88.37571700000001,36.580002,323.783783,32.290001000000004,41.91
2012-04-03,89.902855,38.009997999999996,321.631622,31.940001000000002,41.630001
2012-04-04,89.187141,35.0,317.892883,31.209999,41.279999
2012-04-05,90.525711,34.48,316.476471,31.52,39.740002000000004
2012-04-09,90.889999,33.150002,315.735748,31.1,39.689999
2012-04-10,89.77714499999999,32.459998999999996,313.743744,30.469998999999998,38.27
2012-04-11,89.457146,33.09,318.29830899999996,30.35,38.220001
2012-04-12,88.96714,33.439999,325.830841,30.98,39.189999
2012-04-13,86.461426,33.59,312.61261,30.809998999999998,39.02
2012-04-16,82.87571700000001,32.25,303.338348,31.08,39.57
2012-04-17,87.099998,32.240002000000004,305.090088,31.440001000000002,39.509997999999996
2012-04-18,86.905716,32.66,304.029022,31.139999,41.560001
2012-04-19,83.91999799999999,33.16,299.949951,31.01,42.049999
2012-04-20,81.854286,33.16,298.328339,32.419998,41.439999
2012-04-23,81.671425,31.940001000000002,299.099091,32.119999,41.419998
2012-04-24,80.040001,31.82,300.935944,31.92,41.439999
2012-04-25,87.14286,32.91,305.165161,32.200001,43.139998999999996
2012-04-26,86.814285,33.490002000000004,308.04303,32.110001000000004,44.099998
2012-04-27,86.14286,33.34,307.797791,31.98,37.93
2012-04-30,83.425713,33.130001,302.727722,32.02,38.810001
2012-05-01,83.16143000000001,33.779999,302.517517,32.009997999999996,40.040001000000004
2012-05-02,83.711426,33.939999,303.933929,31.799999,40.529999
2012-05-03,83.117142,32.459998999999996,305.81582599999996,31.76,39.240002000000004
2012-05-04,80.75,31.83,298.783783,30.98,38.880001
2012-05-07,81.354286,32.470001,304.079071,30.65,39.150002
2012-05-08,81.168571,30.190001000000002,306.70169100000004,30.5,39.139998999999996
2012-05-09,81.311432,30.059998999999998,304.879883,30.76,39.950001
2012-05-10,81.502853,32.959998999999996,307.137146,30.74,40.740002000000004
2012-05-11,80.958572,32.25,302.917908,31.16,40.299999
2012-05-14,79.745712,30.059998999999998,302.302307,30.68,39.93
2012-05-15,79.024284,29.43,305.86087000000003,30.209999,39.959998999999996
2012-05-16,78.011429,29.18,314.779785,29.9,38.630001
2012-05-17,75.73143,28.57,311.836823,29.719998999999998,37.07
2012-05-18,75.76857,27.559998999999998,300.50048799999996,29.27,34.66
2012-05-21,80.182854,28.77,307.362366,29.75,35.959998999999996
2012-05-22,79.567146,30.799999,300.700714,29.76,34.509997999999996
2012-05-23,81.50856800000001,31.02,305.035034,29.110001,34.099998
2012-05-24,80.760002,30.280001000000002,302.132141,29.07,33.830002
2012-05-25,80.327141,29.809998999999998,296.06106600000004,29.059998999999998,34.209998999999996
2012-05-29,81.752853,31.690001000000002,297.467468,29.559998999999998,33.169998
2012-05-30,82.738571,30.41,294.409424,29.34,32.23
2012-05-31,82.53286,29.5,290.720734,29.190001000000002,31.389999
2012-06-01,80.141426,28.15,285.77578700000004,28.450001,30.110001
2012-06-04,80.612854,27.879998999999998,289.58459500000004,28.549999,29.9
2012-06-05,80.404289,27.91,285.490479,28.51,29.93
2012-06-06,81.637146,29.219998999999998,290.575562,29.35,30.940001000000002
